time,X,Y,Z
7.999414642,-2.553740025,-7.989634991,-5.056034088
8.001888235,-2.568096876,-8.042277336,-5.079962254
8.004361777,-2.572882652,-8.037490845,-5.127819061
8.006835371,-2.592025042,-8.070990562,-5.094319344
8.009308965,-2.635095835,-8.114061356,-5.075176716
8.011782558,-2.644667149,-8.152346611,-5.113461971
8.0142561,-2.663809776,-8.185846329,-5.084748268
8.016729694,-2.692523718,-8.157132149,-5.070391178
8.019203287,-2.726023197,-8.181060791,-5.079962254
8.021676881,-2.721237659,-8.190631866,-5.075176716
8.024150423,-2.726023197,-8.219346046,-5.06560564
8.026624017,-2.735594511,-8.238488197,-5.075176716
8.02909761,-2.754737139,-8.238488197,-5.094319344
8.031571204,-2.783450842,-8.228917122,-5.075176716
8.034044746,-2.778665304,-8.224131584,-5.075176716
8.03651834,-2.759522676,-8.228917122,-5.084748268
8.038991933,-2.697309256,-8.209774017,-5.079962254
8.041465527,-2.735594511,-8.176275253,-5.070391178
8.043939069,-2.749951363,-8.190631866,-5.046463013
8.046412662,-2.697309256,-8.171489716,-5.060820103
8.048886256,-2.678166628,-8.128418922,-5.046463013
8.05135985,-2.649452925,-8.142775536,-5.01774931
8.053833392,-2.654238462,-8.123632431,-5.01774931
8.056306985,-2.659024239,-8.090133667,-5.008177757
8.058780579,-2.644667149,-8.070990562,-5.027320385
8.061254173,-2.606382132,-8.061419487,-5.046463013
8.063727715,-2.611167669,-8.042277336,-5.06560564
8.066201308,-2.572882652,-7.999206066,-5.046463013
8.068674902,-2.572882652,-7.975277901,-5.046463013
8.071148496,-2.515454769,-7.908278942,-5.032105923
8.073622037,-2.505883455,-7.889136314,-5.012963295
8.076095631,-2.477169752,-7.855636597,-5.008177757
8.078569225,-2.472383976,-7.841279984,-4.984249592
8.081042819,-2.458027124,-7.846065521,-4.979464054
8.08351636,-2.429313183,-7.807780266,-5.046463013
8.085989954,-2.419741869,-7.755138397,-5.012963295
8.088463548,-2.419741869,-7.692924976,-4.998606682
8.090937142,-2.38624239,-7.697710514,-4.993820667
8.093410683,-2.371885538,-7.683353424,-4.993820667
8.095884277,-2.381456852,-7.630711555,-4.97467804
8.098357871,-2.414956331,-7.630711555,-4.98903513
8.100831465,-2.371885538,-7.659425259,-5.027320385
8.103305006,-2.38624239,-7.645068169,-5.022534847
8.1057786,-2.362314224,-7.664210796,-5.108676434
8.108252246,-2.362314224,-7.716853142,-5.108676434
8.11072584,-2.381456852,-7.764709473,-5.103890896
8.113199381,-2.405385017,-7.802994728,-5.137390137
8.115672975,-2.391027927,-7.860422611,-5.137390137
8.118146569,-2.429313183,-7.946564198,-5.156532764
8.120620162,-2.429313183,-7.970492363,-5.185246468
8.123093756,-2.477169752,-8.013563156,-5.213960648
8.125567298,-2.491526604,-8.099704742,-5.218746185
8.12804084,-2.529811859,-8.166703224,-5.18046093
8.130514433,-2.596810818,-8.248059273,-5.175675392
8.132987975,-2.601596355,-8.276773453,-5.185246468
8.135461569,-2.649452925,-8.300702095,-5.18046093
8.137935162,-2.67338109,-8.334799767,-5.185246468
8.140408756,-2.659024239,-8.368298531,-5.132604599
8.142882298,-2.687737942,-8.425726891,-5.127819061
8.145355892,-2.687737942,-8.406583786,-5.079962254
8.147829537,-2.716451883,-8.444869041,-5.041677475
8.150303131,-2.721237659,-8.435297966,-4.993820667
8.152776673,-2.726023197,-8.401798248,-5.056034088
8.155250267,-2.764308453,-8.368298531,-5.032105923
8.15772386,-2.745165825,-8.28155899,-4.92143774
8.160197454,-2.697309256,-8.252845764,-4.92143774
8.162671048,-2.692523718,-8.190631866,-4.926223755
8.16514459,-2.630310297,-8.066205025,-4.926223755
8.167618183,-2.606382132,-8.003992081,-4.911866665
8.170091777,-2.57766819,-7.936992645,-4.940580368
8.172565319,-2.505883455,-7.908278942,-4.993820667
8.175038912,-2.448455811,-7.812565804,-4.97467804
8.177512506,-2.381456852,-7.702496052,-5.012963295
8.1799861,-2.347957134,-7.668996811,-4.98903513
8.182459694,-2.29052949,-7.563712597,-5.032105923
8.184933235,-2.261815548,-7.511070251,-5.008177757
8.187406829,-2.266601324,-7.472784996,-5.032105923
8.189880423,-2.237887383,-7.424928665,-5.06560564
8.192353965,-2.233101845,-7.396214962,-5.060820103
8.194827558,-2.180459738,-7.353144169,-5.094319344
