"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.748177400E-2,2.833101988E0,3.325425386E0,9.294919968E0,1.027036796E1
3.995245100E-2,2.694318295E0,3.325425386E0,9.294919968E0,1.023295374E1
4.242312800E-2,2.603390932E0,3.368496180E0,9.366703987E0,1.028880724E1
4.489375300E-2,2.579462767E0,3.406781197E0,9.443274498E0,1.036509621E1
4.738453400E-2,2.545963287E0,3.473780155E0,9.524630547E0,1.045311746E1
4.985568000E-2,2.459821701E0,3.564707518E0,9.586843491E0,1.051976381E1
5.232687800E-2,2.411965132E0,3.598206997E0,9.534201622E0,1.047213779E1
5.479802400E-2,2.320439816E0,3.703491211E0,9.515059471E0,1.047075187E1
5.726917000E-2,2.224726915E0,3.832703590E0,9.467203140E0,1.045308385E1
5.974031600E-2,2.186441660E0,3.918845177E0,9.328418732E0,1.035167961E1
6.221151400E-2,2.181656122E0,3.894917011E0,9.175278664E0,1.020371209E1
6.468265900E-2,2.277369022E0,3.875774384E0,9.031708717E0,1.008859748E1
6.717234700E-2,2.364108801E0,3.827918053E0,8.859425545E0,9.936366943E0
6.964401400E-2,2.469393015E0,3.736990690E0,8.773283958E0,9.850559004E0
7.211562800E-2,2.579462767E0,3.689134359E0,8.629714966E0,9.733207122E0
7.458724300E-2,2.679961443E0,3.492922783E0,8.572287560E0,9.636743065E0
7.705885700E-2,2.828316450E0,3.301496983E0,8.523832321E0,9.568436325E0
7.953052400E-2,2.962314367E0,3.253640652E0,8.432905197E0,9.511854392E0
8.200213900E-2,3.105883837E0,3.277568817E0,8.466404915E0,9.595258409E0
8.447375300E-2,3.182454109E0,3.296711445E0,8.601000786E0,9.745436626E0
8.696031600E-2,3.182454109E0,3.325425386E0,8.682356834E0,9.826992844E0
8.943229500E-2,3.129812002E0,3.334996462E0,8.811569214E0,9.927823356E0
9.190432600E-2,3.062813044E0,3.311068296E0,8.897710800E0,9.975633037E0
9.437630500E-2,2.986242771E0,3.239283562E0,8.950352669E0,9.975941899E0
9.684833700E-2,2.895315409E0,3.224926710E0,8.940781593E0,9.935823021E0
9.932031600E-2,2.799602509E0,3.210569859E0,8.873783112E0,9.843249450E0
1.017923470E-1,2.703889608E0,3.153141975E0,8.811569214E0,9.741512990E0
1.042643260E-1,2.723032236E0,3.090330362E0,8.725427628E0,9.648737409E0
1.067482840E-1,2.713460922E0,3.023331404E0,8.701499939E0,9.603098674E0
1.092205240E-1,2.737389088E0,3.037688255E0,8.663214684E0,9.579777534E0
1.116928680E-1,2.794816732E0,3.023331404E0,8.677571297E0,9.604778860E0
1.141651590E-1,2.823530674E0,3.047259569E0,8.629714966E0,9.577583032E0
1.166374510E-1,2.866601467E0,3.028116941E0,8.533403397E0,9.497677069E0
1.191097430E-1,2.928814888E0,2.975475073E0,8.408976555E0,9.388412819E0
1.215820340E-1,3.005385160E0,2.937189817E0,8.318049431E0,9.319300957E0
1.240543780E-1,3.125026464E0,2.961117983E0,8.184051514E0,9.247308219E0
1.265362010E-1,3.129812002E0,2.889333248E0,8.069195747E0,9.124466549E0
1.290087530E-1,3.120240688E0,2.860619545E0,7.772486210E0,8.850456938E0
1.314813050E-1,3.038884640E0,2.798406124E0,7.734200954E0,8.768338559E0
1.339538570E-1,3.120240688E0,2.736192703E0,7.930412292E0,8.950647551E0
1.364263570E-1,3.211168051E0,2.721835852E0,7.930412292E0,8.978386814E0
1.388989090E-1,3.182454109E0,2.755335331E0,7.868198872E0,8.923476925E0
1.413714620E-1,3.067598581E0,2.798406124E0,7.801199913E0,8.837418060E0
1.438440140E-1,2.971885681E0,2.884547710E0,7.863413334E0,8.887406216E0
1.463241180E-1,2.847458839E0,2.985046148E0,7.911269665E0,8.922259246E0
1.487968780E-1,2.723032236E0,3.008974552E0,8.011768341E0,8.980938947E0
1.512696390E-1,2.627319336E0,3.075973511E0,8.088338852E0,9.043541636E0
1.537423470E-1,2.522035122E0,3.177070379E0,8.069195747E0,9.031409489E0
1.562150550E-1,2.421536446E0,3.191427231E0,8.073982239E0,9.013225600E0
1.586878160E-1,2.296511650E0,3.215355396E0,8.164909363E0,9.070734313E0
1.611605760E-1,2.219941139E0,3.224926710E0,8.150551796E0,9.042111785E0
1.636332840E-1,2.162513494E0,3.229712248E0,8.145766258E0,9.025575536E0
1.661121390E-1,2.071586132E0,3.196212769E0,8.126624107E0,8.974924208E0
1.685850030E-1,1.961516380E0,3.196212769E0,8.112266541E0,8.937124314E0
1.710579200E-1,1.889731646E0,3.205784082E0,8.121838570E0,8.933778541E0
1.735307840E-1,1.851446509E0,3.205784082E0,8.126624107E0,8.930113389E0
1.760036490E-1,1.841875196E0,3.157927752E0,8.078767776E0,8.867440482E0
1.784765660E-1,1.717448473E0,3.124428272E0,8.164909363E0,8.909401001E0
1.809494820E-1,1.727019787E0,3.119044304E0,8.193622589E0,8.935686087E0
1.834223470E-1,1.707877159E0,3.032902718E0,8.193622589E0,8.902291526E0
1.859001590E-1,1.674377680E0,3.008974552E0,8.274978638E0,8.962853336E0
1.883731280E-1,1.631306887E0,2.994617462E0,8.284550667E0,8.958943892E0
1.908461490E-1,1.645663738E0,2.951546669E0,8.370692253E0,9.027088438E0
1.933191180E-1,1.583450437E0,2.965903759E0,8.408976555E0,9.056201582E0
1.957921910E-1,1.506880045E0,2.946761131E0,8.485547066E0,9.108161046E0
1.982651590E-1,1.444666624E0,2.927618504E0,8.562117577E0,9.163398341E0
2.007381800E-1,1.401595831E0,2.927618504E0,8.658429146E0,9.246827361E0
2.032112010E-1,1.387238979E0,2.956332445E0,8.663214684E0,9.258273174E0
2.056881280E-1,1.334596872E0,2.980260611E0,8.773283958E0,9.361282686E0
2.081612530E-1,1.295713425E0,2.975475073E0,8.902496338E0,9.475587910E0
2.106343780E-1,1.243071318E0,3.052045345E0,8.892925262E0,9.483898292E0
2.131074510E-1,1.166501045E0,3.061616659E0,8.840283394E0,9.427875251E0
2.155805760E-1,1.094716311E0,3.042474031E0,8.749356270E0,9.327716075E0
2.180537010E-1,9.750752449E-1,2.970689297E0,8.720642090E0,9.264198027E0
2.205267740E-1,6.113662124E-1,2.884547710E0,8.644071579E0,9.133146096E0
2.229998990E-1,5.156532526E-1,2.726621389E0,8.634500504E0,9.069452102E0
2.254760450E-1,4.965106845E-1,2.635694027E0,8.567501068E0,8.977498561E0
2.279492220E-1,4.103690982E-1,2.511267424E0,8.322834969E0,8.703128678E0
2.304224510E-1,4.821537733E-1,2.396411896E0,8.102695465E0,8.463387976E0
2.328956280E-1,6.305087805E-1,2.401197433E0,7.973483086E0,8.351031251E0
2.353688050E-1,9.511470199E-1,2.377269268E0,7.820342541E0,8.228842402E0
2.378419820E-1,1.152144074E0,2.429911375E0,7.729415417E0,8.183872430E0
2.403151590E-1,1.329811215E0,2.458625317E0,7.734200954E0,8.223813028E0
2.427883370E-1,1.535593987E0,2.482553482E0,7.782057285E0,8.311530321E0
2.452640660E-1,1.703091502E0,2.472982168E0,7.849056244E0,8.403799461E0
2.477373470E-1,1.894517303E0,2.482553482E0,7.887341499E0,8.483066870E0
2.502105760E-1,2.133799553E0,2.415554523E0,7.916055679E0,8.547042863E0
2.526838570E-1,2.196012974E0,2.338984251E0,7.954340458E0,8.576995536E0
2.551570870E-1,2.148156643E0,2.233700037E0,8.073982239E0,8.648305152E0
2.576303160E-1,2.119442701E0,2.133201361E0,8.207980156E0,8.741482921E0
2.601035970E-1,1.990230203E0,2.085345030E0,8.313263893E0,8.798865649E0
2.625768260E-1,1.861017823E0,1.993819475E0,8.404191017E0,8.835673720E0
2.650520870E-1,1.750947952E0,1.907677889E0,8.519046783E0,8.903887452E0
2.675254200E-1,1.640878081E0,1.831107497E0,8.773283958E0,9.111308740E0
2.699987010E-1,1.626521230E0,1.697109461E0,9.036494255E0,9.337236221E0
2.724720340E-1,1.602592945E0,1.524826288E0,9.323633194E0,9.582459773E0
2.749453160E-1,1.593021631E0,1.390828133E0,9.620942116E0,9.850616631E0
2.774185970E-1,1.559522152E0,1.223330617E0,9.888937950E0,1.008562050E1
2.798919300E-1,1.478166223E0,1.051047325E0,1.015214825E1,1.031289435E1
2.823652120E-1,1.348953724E0,9.547362328E-1,1.029093170E1,1.042278623E1
2.848400550E-1,1.195214868E0,8.733802438E-1,1.031964588E1,1.042527807E1
2.873133890E-1,9.798609018E-1,9.308080077E-1,1.033400249E1,1.042200261E1
2.897867220E-1,7.549355626E-1,1.002592683E0,1.026221848E1,1.033867728E1
2.922600550E-1,6.065805554E-1,1.098903775E0,1.016650486E1,1.024369809E1
2.947333890E-1,4.151547253E-1,1.189831018E0,1.007079220E1,1.014933036E1
2.972067220E-1,2.667997181E-1,1.309472203E0,1.000857925E1,1.009740354E1
2.996800550E-1,3.433700502E-1,1.505683661E0,1.020000458E1,1.031625318E1
3.021533890E-1,2.566302419E-1,1.596610904E0,9.802796364E0,9.935282684E0
3.046280760E-1,6.520441920E-2,1.553540111E0,9.261420250E0,9.391040599E0
3.071014090E-1,2.991028363E-3,1.476969719E0,9.069993973E0,9.189463486E0
3.095747950E-1,-9.750752151E-2,1.433898926E0,8.950352669E0,9.065008921E0
3.120481800E-1,-1.501496136E-1,1.376471281E0,8.825926781E0,8.933879428E0
3.145215660E-1,-1.262213886E-1,1.347757339E0,8.840283394E0,8.943321093E0
3.169948990E-1,2.667997181E-1,1.218544960E0,9.223134995E0,9.307107662E0
3.194682840E-1,2.327020019E-1,1.376471281E0,9.156135559E0,9.261945896E0
