"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.284483400E-1,-1.347159147E0,7.687541008E0,6.393023968E0,1.008879973E1
1.309239120E-1,-1.356730461E0,7.682755470E0,6.388238430E0,1.008340416E1
1.333835480E-1,-1.337587833E0,7.677969456E0,6.397809505E0,1.008326944E1
1.358587040E-1,-1.366301775E0,7.658827305E0,6.388238430E0,1.006647935E1
1.383339120E-1,-1.361516118E0,7.677969456E0,6.373881340E0,1.007131096E1
1.408090690E-1,-1.404586911E0,7.654041290E0,6.373881340E0,1.005900471E1
1.432842770E-1,-1.399801254E0,7.663612843E0,6.378666878E0,1.006865415E1
1.457594850E-1,-1.366301775E0,7.639684677E0,6.359524250E0,1.003369878E1
1.482346420E-1,-1.313659668E0,7.630113125E0,6.364310265E0,1.002241354E1
1.507098500E-1,-1.332802176E0,7.591827869E0,6.359524250E0,9.992785434E0
1.531722460E-1,-1.294517040E0,7.630113125E0,6.311667919E0,9.986568609E0
1.556471420E-1,-1.270588875E0,7.644470215E0,6.335596085E0,1.000960033E1
1.581219850E-1,-1.251446247E0,7.634898663E0,6.321238995E0,9.990788644E0
1.605968810E-1,-1.237089276E0,7.601399422E0,6.287739754E0,9.942199669E0
1.630717250E-1,-1.256231904E0,7.601399422E0,6.282954216E0,9.941574596E0
1.655465690E-1,-1.198804140E0,7.606184959E0,6.244668961E0,9.913983631E0
1.680214120E-1,-1.174875975E0,7.563114166E0,6.273382664E0,9.896280084E0
1.704963080E-1,-1.203589797E0,7.553543091E0,6.335596085E0,9.931989699E0
1.729609960E-1,-1.174875975E0,7.548757076E0,6.330810547E0,9.921856133E0
1.754356310E-1,-1.184447169E0,7.534400463E0,6.330810547E0,9.912076857E0
1.779102150E-1,-1.179661512E0,7.558328629E0,6.292525291E0,9.905342371E0
1.803848500E-1,-1.189232826E0,7.510472298E0,6.326025009E0,9.891413512E0
1.828594330E-1,-1.213161111E0,7.529614449E0,6.302096844E0,9.893597842E0
1.853340170E-1,-1.170090318E0,7.548757076E0,6.335596085E0,9.924344940E0
1.878086520E-1,-1.179661512E0,7.582256794E0,6.282954216E0,9.917546726E0
1.902832350E-1,-1.208375454E0,7.587042332E0,6.302096844E0,9.936790589E0
1.927496940E-1,-1.194018483E0,7.572685242E0,6.302096844E0,9.924095250E0
1.952240690E-1,-1.194018483E0,7.582256794E0,6.287739754E0,9.922296581E0
1.976984960E-1,-1.213161111E0,7.582256794E0,6.263811588E0,9.909475949E0
2.001728710E-1,-1.246660590E0,7.634898663E0,6.292525291E0,9.972046668E0
2.026473500E-1,-1.198804140E0,7.606184959E0,6.249454498E0,9.916998665E0
2.051217250E-1,-1.213161111E0,7.601399422E0,6.249454498E0,9.915075117E0
2.075961000E-1,-1.174875975E0,7.630113125E0,6.244668961E0,9.929493959E0
2.100705270E-1,-1.189232826E0,7.625327587E0,6.220740795E0,9.912492702E0
2.125383920E-1,-1.194018483E0,7.634898663E0,6.230311871E0,9.926436608E0
2.150126100E-1,-1.189232826E0,7.601399422E0,6.263811588E0,9.921233970E0
2.174868290E-1,-1.217946768E0,7.615756035E0,6.220740795E0,9.908620002E0
2.199611000E-1,-1.179661512E0,7.644470215E0,6.206383705E0,9.917092560E0
2.224353710E-1,-1.127019525E0,7.663612843E0,6.225526333E0,9.937721717E0
2.249095900E-1,-1.170090318E0,7.658827305E0,6.249454498E0,9.954015700E0
2.273838080E-1,-1.150947690E0,7.615756035E0,6.282954216E0,9.939815604E0
2.298580790E-1,-1.203589797E0,7.625327587E0,6.292525291E0,9.959423867E0
2.323271420E-1,-1.232303619E0,7.668398380E0,6.263811588E0,9.977887629E0
2.348012040E-1,-1.174875975E0,7.682755470E0,6.249454498E0,9.973000887E0
2.372753190E-1,-1.170090318E0,7.654041290E0,6.249454498E0,9.950333711E0
2.397494330E-1,-1.170090318E0,7.668398380E0,6.225526333E0,9.946387444E0
2.422235480E-1,-1.141376376E0,7.654041290E0,6.187241077E0,9.908029080E0
2.446976620E-1,-1.174875975E0,7.630113125E0,6.206383705E0,9.905461047E0
