time,X,Y,Z
4.499684378,-0.03050848842,-9.114859581,1.557129383
4.50215792,0.01256231871,-9.162715912,1.633699656
4.504631409,0.07956135273,-9.210572243,1.700698733
4.507104899,0.1800599098,-9.234500885,1.715055585
4.509578389,0.1896311939,-9.306285858,1.80119729
4.51205193,0.2470589429,-9.282357216,1.892124534
4.51452542,0.2183450609,-9.181859016,2.313261271
4.516998909,0.3098705411,-9.306285858,2.088335991
4.519472399,0.4438686073,-9.359525681,1.987837434
4.521945941,0.5204389095,-9.421739578,1.987837434
4.52441943,0.5874379873,-9.48873806,1.887338877
4.52689292,0.6400800347,-9.531808853,1.796411633
4.529366409,0.6735795736,-9.565308571,1.743769526
4.531839951,0.6831508875,-9.589237213,1.662413478
4.534313441,0.7214360237,-9.589237213,1.557129383
4.53678693,0.6927221417,-9.613164902,1.547558069
4.539260368,0.6783652306,-9.66580677,1.542772412
4.541733909,0.6496513486,-9.661021233,1.652842283
4.544207399,0.6496513486,-9.670592308,1.552343726
4.546680889,0.6927221417,-9.728020668,1.509272933
4.549154378,0.6735795736,-9.785448074,1.37048912
4.55162792,0.6735795736,-9.766305923,1.240678549
4.554101409,0.6687939167,-9.79501915,1.168893814
4.556574899,0.6400800347,-9.82373333,1.063609719
4.559048389,0.5874379873,-9.842875481,1.058824062
4.56152193,0.5635097623,-9.809376717,1.006181955
4.56399542,0.5156532526,-9.780662537,1.054038405
4.566468909,0.4342973232,-9.747162819,1.068395257
4.568942399,0.4151547253,-9.708877563,1.039681435
4.571415941,0.3912265003,-9.651450157,1.063609719
4.57388943,0.3290131092,-9.603593826,1.154536963
4.57636292,0.2811566591,-9.574879646,1.211964726
4.578836357,0.2518445849,-9.527023315,1.211964726
4.581309899,0.2279163599,-9.48873806,1.240678549
4.583783389,0.2087737769,-9.479166985,1.313061476
4.586256878,0.1992024779,-9.412167549,1.317847013
4.588730368,0.1800599098,-9.383454323,1.351346612
4.591203909,0.1465603858,-9.397810936,1.360917926
4.593677399,0.06999006122,-9.330213547,1.743769526
4.596150889,0.1657029688,-9.412167549,1.490130305
4.598624378,0.1896311939,-9.388239861,1.025324464
4.60109792,0.1752742529,-9.402596474,0.8721838593
4.603571409,0.2279163599,-9.412167549,0.7525427341
4.606044899,0.2667997181,-9.412167549,0.4941178858
4.608518389,0.2859423161,-9.407382011,0.3888336718
4.61099193,0.3194418252,-9.455238342,0.498903513
4.61346542,0.3768695593,-9.483952522,0.5611169338
4.615938909,0.4055834413,-9.531808853,0.7046862841
4.618412347,0.4295116663,-9.541379929,0.7764709592
4.620885889,0.4582255483,-9.574879646,0.8865407705
4.623359378,0.4821537733,-9.555737495,0.9966106415
4.625832868,0.5108676553,-9.546165466,1.101894855
4.628306357,0.5108676553,-9.550951958,1.164108157
4.630779899,0.4773681164,-9.555737495,1.121037364
4.633253389,0.5395814776,-9.507881165,1.063609719
4.635726878,0.5635097623,-9.498309135,1.063609719
4.638200368,0.5156532526,-9.469595909,1.034895778
4.640673909,0.5060819983,-9.436096191,1.001396298
4.643147399,0.4103690982,-9.416953087,1.245464206
4.645620889,0.4534398913,-9.445667267,1.235892892
4.648094378,0.4007977843,-9.354142189,0.8673982024
4.65056792,0.3385843933,-9.325428009,0.8051848412
4.653041409,0.3098705411,-9.234500885,0.5898307562
4.655514899,0.2135594189,-9.205786705,0.4223332107
4.657988337,0.1704886109,-9.16750145,0.3696911037
4.660461878,0.1130608693,-9.09571743,0.3696911037
4.662935368,0.05563312769,-9.105288506,0.3553341627
4.665408857,0.02691925503,-9.105288506,0.498903513
4.667882347,-0.07357929647,-9.129216194,0.5802595019
4.670355889,-0.1310070455,-9.201001167,0.6951149702
4.672829378,-0.1884347796,-9.263215065,0.7764709592
4.675302868,-0.2745763958,-9.282357216,0.7956135273
4.677776357,-0.3224328458,-9.301499367,0.7525427341
4.680249899,-0.442073971,-9.359525681,0.709471941
4.682723389,-0.5473581553,-9.397810936,0.6233302951
4.685196878,-0.6478567123,-9.397810936,0.4606183469
4.687670368,-0.7339983582,-9.412167549,0.2979064286
4.690143909,-0.7674978375,-9.445667267,0.1776670814
4.692617399,-0.8973084688,-9.522237778,0.01495514158
4.695090889,-0.9882357717,-9.546165466,-0.123828575
4.697564378,-1.045663476,-9.579665184,-0.1716850251
4.70003792,-1.155733347,-9.656235695,0.2015953064
4.702511409,-1.184447169,-9.771091461,0.1537388563
4.704984899,-1.203589797,-9.818947792,0.07716853172
4.707458389,-1.222732425,-9.881160736,0.07238288224
4.70993193,-1.29451704,-9.881160736,0.01016949583
4.71240542,-1.366301775,-9.833304405,-0.06640082598
4.714878909,-1.409372568,-9.790233612,-0.1477568001
4.717352347,-1.395015597,-9.751948357,-0.104685992
4.719825889,-1.447657704,-9.675378799,-0.1525424421
4.722299378,-1.462014675,-9.646664619,-0.123828575
4.724772868,-1.481157184,-9.565308571,-0.07118647546
4.727246357,-1.452443361,-9.507881165,0.06281159073
4.729719899,-1.442872047,-9.455238342,0.1441675574
4.732193389,-1.361516118,-9.402596474,0.1680957973
4.734666878,-1.361516118,-9.263215065,0.1633101404
4.737140368,-1.308874011,-9.134002686,-0.008973085321
4.739613909,-1.289731383,-9.071788788,-0.1573280841
4.742087399,-1.275374413,-9.03828907,-0.2434697002
4.744560889,-1.165304661,-9.033503532,-0.2626122832
4.747034378,-1.088734269,-9.071788788,-0.3678964674
4.74950792,-1.036092162,-9.009575844,-0.3822534084
4.751981409,-1.136590719,-8.851649284,-0.3870390654
4.754454847,-1.227517962,-8.846863747,-0.3200400174
4.756928337,-1.29451704,-8.851649284,-0.5258227587
4.759401878,-1.275374413,-8.971290588,-0.6119644046
4.761875368,-1.170090318,-9.081359863,-0.7028916478
4.764348857,-1.155733347,-9.191430092,-0.8949156404
4.766822347,-1.160519004,-9.34457016,-1.024128079
4.769295889,-1.165304661,-9.46002388,-1.124626637
4.771769378,-1.174875975,-9.598808289,-1.162911773
4.774242868,-1.160519004,-9.804591179,-1.229910851
4.776716357,-1.179661512,-9.976874352,-1.196411371
4.779189899,-1.136590719,-10.13001442,-1.191625714
4.781663389,-1.184447169,-10.31665516,-1.13419795
4.784136878,-1.213161111,-10.45125103,-1.100698471
4.786610368,-1.280160069,-10.60439205,-1.000199914
4.789083909,-1.32801652,-10.71924686,-0.8709874153
4.791557399,-1.347159147,-10.81974602,-0.8231309652
4.794030889,-1.42372942,-10.92502975,-0.7316055298
4.796504326,-1.433300734,-11.0063858,-0.6263213158
4.798977868,-1.462014675,-11.01117134,-0.5928218365
4.801451357,-1.548156261,-11.11167049,-0.4683950245
4.803924847,-1.524227977,-11.38445187,-0.04725824669
4.806398337,-1.395015597,-11.5334053,0.2644068897
4.808871878,-1.447657704,-11.32702446,0.1154536903
4.811345368,-1.581655741,-11.01595688,-0.1142572835
4.813818857,-1.663011789,-10.8867445,-0.06161518395
4.816292347,-1.43808639,-10.92502975,-0.0185443759
4.818765889,-1.452443361,-10.63310528,-0.004187439568
4.821239378,-1.600798368,-10.34536839,-0.008973085321
4.823712868,-1.639083505,-10.14437199,-0.3200400174
4.826186357,-1.576870084,-9.933803558,-0.4109672904
4.828659899,-1.591227055,-9.598808289,-0.4875376225
4.831133389,-1.509871125,-9.412167549,-0.4923232496
4.833606878,-1.433300734,-9.311071396,-0.4253242314
4.836080316,-1.270588875,-9.234500885,-0.4061816335
4.838553857,-1.098305583,-9.191430092,-0.3822534084
4.841027347,-0.9164510965,-9.157930374,-0.4396811724
4.843500837,-0.7674978375,-9.16750145,-0.4779663086
4.845974326,-0.6622136831,-9.201001167,-0.5018945336
4.848447868,-0.5521438122,-9.177073479,-0.5688936114
4.850921357,-0.442073971,-9.22492981,-0.5162515044
4.853394847,-0.3846462369,-9.205786705,-0.4540380836
4.855868337,-0.3224328458,-9.22492981,-0.4061816335
4.858341878,-0.2362912297,-9.24407196,-0.3248256743
4.860815368,-0.1692921966,-9.268000603,-0.1668993831
4.863288857,-0.107078813,-9.277571678,-0.07597211748
4.865762347,-0.111864455,-9.282357216,-0.02811566554
4.868235889,-0.0783649385,-9.306285858,0.0005982056609
4.870709378,-0.06400800496,-9.325428009,0.04366901144
4.873182868,-0.09750752151,-9.34457016,0.01495514158
4.875656305,-0.1405783296,-9.320642471,-0.06161518395
4.878129847,-0.1597209126,-9.349356651,-0.1668993831
4.880603337,-0.2171486616,-9.354142189,-0.3056831062
4.883076826,-0.2889333367,-9.378668785,-0.4109672904
4.885550316,-0.394217521,-9.407382011,-0.4779663086
4.888023857,-0.446859628,-9.369096756,-0.5784648657
4.890497347,-0.5330012441,-9.426525116,-0.6550351977
4.892970837,-0.5952146053,-9.440881729,-0.7363911867
4.895444326,-0.6334998012,-9.531808853,-0.8470591903
4.897917868,-0.6669993401,-9.589237213,-0.9044869542
4.900391357,-0.7244270444,-9.632308006,-0.9188438654
4.902864847,-0.7579265833,-9.627521515,-0.9571290612
4.905338337,-0.8446664214,-9.598808289,-0.9619147182
4.907811878,-0.8877372146,-9.656235695,-0.8949156404
4.910285368,-0.8925228715,-9.66580677,-0.813559711
4.912758857,-0.9547362328,-9.680164337,-0.7651050687
4.915232295,-0.9451649189,-9.708877563,-0.6981059909
4.917705837,-0.9738788009,-9.66580677,-0.6263213158
4.920179326,-1.016949654,-9.632308006,-0.5736792088
4.922652816,-1.026520967,-9.622735977,-0.5353940725
4.925126305,-0.9834501147,-9.560523033,-0.4923232496
4.927599847,-1.021735311,-9.565308571,-0.4636093974
4.930073337,-1.00737834,-9.536594391,-0.3870390654
4.932546826,-1.031306505,-9.503094673,-0.3248256743
4.935020316,-1.036092162,-9.436096191,-0.2721835673
4.937493857,-1.016949654,-9.426525116,-0.2769692242
4.939967347,-1.036092162,-9.445667267,-0.2195414752
4.942440837,-1.074377418,-9.412167549,-0.1956132501
4.944914326,-1.107876897,-9.397810936,-0.1525424421
4.947387868,-1.074377418,-9.412167549,-0.1668993831
4.949861357,-1.174875975,-9.383454323,-0.09990034252
4.952334847,-1.189232826,-9.369096756,-0.09990034252
4.954808337,-1.265803218,-9.339784622,-0.1333998591
4.957281878,-1.347159147,-9.373882294,-0.1764706671
4.959755368,-1.380658627,-9.320642471,-0.3343969584
4.962228857,-1.42372942,-9.334999084,-0.4061816335
4.964702347,-1.466800332,-9.311071396,-0.4588237405
4.967175889,-1.51944232,-9.296713829,-0.5258227587
4.969649378,-1.600798368,-9.296713829,-0.5736792088
4.972122868,-1.648654819,-9.291928291,-0.5784648657
4.974596305,-1.691725612,-9.277571678,-0.5736792088
4.977069847,-1.686939955,-9.287142754,-0.5353940725
4.979543337,-1.773081541,-9.24407196,-0.5784648657
4.982016826,-1.80658114,-9.239286423,-0.6119644046
4.984490316,-1.850250125,-9.277571678,-0.5880361795
4.986963857,-1.864607096,-9.27278614,-0.5497509837
4.989437347,-1.878963947,-9.220144272,-0.5736792088
4.991910837,-1.917249203,-9.205786705,-0.5641079545
4.994384326,-1.898106575,-9.201001167,-0.5162515044
4.996857868,-1.993819475,-9.119645119,-0.5066801906
4.999331357,-2.008176327,-9.09571743,-0.4540380836
5.001804847,-2.036890268,-9.105288506,-0.4636093974
5.004278337,-2.070389748,-9.090931892,-0.4540380836
5.006751878,-2.022533417,-9.047860146,-0.4061816335
5.009225368,-2.012962103,-9.057432175,-0.3870390654
5.011698857,-1.950748682,-9.043074608,-0.3583251834
5.014172295,-1.864607096,-9.019146919,-0.3343969584
5.016645837,-1.768295884,-9.028717995,-0.3056831062
5.019119326,-1.648654819,-9.057432175,-0.2482553422
5.021592816,-1.538584948,-9.119645119,-0.2243271172
5.024066305,-1.395015597,-9.16750145,-0.1381855011
5.026539847,-1.313659668,-9.177073479,-0.06640082598
5.029013337,-1.131805062,-9.24407196,0.04366901144
5.031486826,-0.9738788009,-9.282357216,0.1106680483
5.033960316,-0.8973084688,-9.315856934,0.2548356056
5.036433857,-0.8350951076,-9.339784622,0.4414757788
5.038907347,-0.7196413875,-9.349356651,0.4701896608
5.041380837,-0.6526423693,-9.445667267,0.5132604837
5.043854326,-0.614357233,-9.426525116,0.5946164131
5.046327868,-0.5760720372,-9.402596474,0.6329016089
5.048801357,-0.5234299302,-9.455238342,0.604187727
5.051274847,-0.4899304509,-9.469595909,0.6424728632
5.053748284,-0.442073971,-9.48873806,0.6233302951
5.056221826,-0.4277170599,-9.48873806,0.6759724021
5.058695316,-0.4085744619,-9.479166985,0.7238288522
5.061168805,-0.4229314029,-9.493523598,0.6951149702
5.063642295,-0.4372883439,-9.507881165,0.7190431952
5.066115837,-0.456430912,-9.431310654,0.6472585201
5.068589326,-0.432502687,-9.507881165,0.6089733839
5.071062816,-0.432502687,-9.646664619,0.59940207
5.073536305,-0.5425725579,-9.359525681,0.484546572
5.076009847,-0.7292127013,-9.110074043,0.4031906128
5.078483337,-0.8877372146,-9.004789352,0.3218346536
5.080956826,-0.9738788009,-8.990432739,0.2063809484
5.083430316,-1.079162955,-8.980861664,0.0484546572
5.085903857,-1.127019525,-8.937790871,-0.04725824669
5.088377347,-1.208375454,-8.928219795,-0.1668993831
5.090850837,-1.337587833,-8.928219795,-0.3391826153
5.093324274,-1.418943882,-8.933005333,-0.4971089065
5.095797816,-1.500299811,-8.937790871,-0.5784648657
5.098271305,-1.524227977,-8.995218277,-0.6885347366
5.100744795,-1.648654819,-9.023932457,-0.8327022791
5.103218284,-1.749153376,-9.129216194,-0.94277215
5.105691826,-1.787438512,-9.234500885,-1.048056364
5.108165316,-1.840678811,-9.483952522,-1.153340459
5.110638805,-1.739582062,-9.900303841,-1.210768223
5.113112295,-1.715653777,-9.933803558,-1.26341033
5.115585837,-1.902892232,-9.809376717,-1.282552958
5.118059326,-2.027318954,-9.699306488,-1.220339537
5.120532816,-2.032104731,-9.742377281,-1.158126116
5.123006305,-2.032104731,-9.857233047,-1.16769743
5.125479847,-1.965105653,-9.900303841,-1.100698471
5.127953337,-1.893320918,-10.01515961,-0.9475577474
5.130426826,-1.763510346,-10.05344391,-0.7746763229
5.132900264,-1.557727575,-10.27358437,-0.5976074338
5.135373805,-1.313659668,-10.49910736,-0.4588237405
5.137847295,-1.136590719,-10.24487019,-0.2817548811
5.140320784,-1.050449133,-10.03430176,-0.128614217
5.142794274,-1.021735311,-9.905089378,0.06281159073
5.145267816,-0.8925228715,-9.833304405,0.2255235314
5.147741305,-0.7674978375,-9.828518867,0.3649054468
5.150214795,-0.6574280262,-9.828518867,0.522831738
5.152688284,-0.5473581553,-9.857233047,0.6472585201
5.155161826,-0.4229314029,-9.924231529,0.685543716
5.157635316,-0.3463610709,-10.0390873,0.7668996453
5.160108805,-0.2123630047,-10.12044334,0.8051848412
5.162582295,-0.06879365444,-10.20179939,0.8291130662
5.165055837,-0.006580262445,-10.28794098,0.8147560954
5.167529326,0.1609173268,-10.46560764,0.8195417523
5.170002816,0.4869394004,-10.5038929,0.7956135273
5.172476253,0.6496513486,-10.57089233,0.7764709592
5.174949795,0.4773681164,-10.45125103,0.7286145091
5.177423284,0.3337987661,-10.41775131,0.7621139884
5.179896774,0.2470589429,-10.44167995,0.7812566161
5.182370264,0.1369891018,-10.4033947,0.7908278704
5.184843805,-0.01136590727,-10.43210888,0.8482556343
5.187317295,-0.1788634956,-10.40818024,0.9391828775
5.189790784,-0.2219343036,-10.58524895,1.044467092
5.192264274,-0.2171486616,-10.70489025,1.168893814
5.194737816,-0.3128615618,-10.44646549,1.140179992
5.197211305,-0.494716078,-10.24008465,1.173679471
5.199684795,-0.6382854581,-10.14915752,1.111466169
5.202158284,-0.7292127013,-10.13001442,0.9583254457
5.204631826,-0.8398807645,-10.0965147,0.8434699774
5.207105316,-0.9882357717,-10.07258701,0.7142575383
5.209578805,-1.155733347,-10.01037312,0.5324030519
5.212052243,-1.318445325,-10.01515961,0.2159522474
5.214525784,-1.505085468,-10.00080204,-0.08075776696
5.216999274,-1.682154298,-9.991230965,-0.3631108403
5.219472764,-1.883749604,-9.991230965,-0.5784648657
5.221946253,-2.113460541,-9.938589096,-0.8327022791
5.224419795,-2.319243431,-9.943374634,-1.057627559
5.226893284,-2.544168711,-9.976874352,-1.306481123
5.229366774,-2.749951363,-9.981659889,-1.493121386
5.231840264,-3.023331404,-9.991230965,-1.641476393
